Band,Genre,Subgenre,Song Title,Lyrics,neg,neu,pos,compound
The Rolling Stones,Rock,Classic Rock,Sympathy for the Devil,"Yeow Yeow YeowPlease allow me to introduce myself I'm a man of wealth and taste I've been around for a long, long year Stole many a man's soul and faith And I was 'round when Jesus Christ Had his moment of doubt and pain Made damn sure that Pilate Washed his hands and sealed his fatePleased to meet you, hope you guess my name But what's puzzlin' you is the nature of my gameStuck around St. Petersburg When I saw it was a time for a change Killed the Tsar and his ministers Anastasia screamed in vain I rode a tank, held a general's rank When the Blitzkrieg raged and the bodies stankPleased to meet you, hope you guess my name Oh yeah Ah, what's puzzlin' you is the nature of my game Aww yeahI watched with glee while your kings and queens Fought for ten decades for the gods they made I shouted out, ""Who killed the Kennedys?""When after all, it was you and me Let me please introduce myself I'm a man of wealth and taste And I laid traps for troubadours Who get killed before they reach BombayPleased to meet you, hope you guess my name Oh yeah But what's puzzlin' you is the nature of my game Aww yeah(Uh, get down heavy!)Pleased to meet you, hope you'll guess my name Aww yeah But what's confusin' you is just the nature of my game Mmm yeahJust as every cop is a criminal And all the sinners saints As heads is tails, just call me Lucifer'Cause I'm in need of some restraint So if you meet me, have some courtesy Have some sympathy and some taste Use all your well-learned politesse Or I'll lay your soul to waste Mmm, yeahPleased to meet you, hope you guessed my name Mmm, yeah But what's puzzlin' you is the nature of my game Mmm, mean it, get downGet down Woo hoo!Aww yeah Get on down Oh yeah Ba bum bum, ba ba bum Ah yeah Tell me baby, what's my name?Tell me honey, can you guess my name?Tell me baby, what's my name?I'll tell you one time, you're to blame Ooo hoo, ooo hoo, oooo hoo All right Ooo hoo hoo, ooo hoo hoo, ooo hoo hoo Ah yeah Ooo hoo hoo, ooo hoo hoo Ah yes, what's my name?Tell me, baby, ah what's my name?Tell me, sweetie, what's my name?Ooo hoo hoo, ooo hoo hoo, ooo hoo hoo, ooo hoo hoo Ooo hoo hoo, ooo hoo hoo, ooo hoo hoo Ah yeah What's my name...",0.098,0.736,0.166,0.9824
The Rolling Stones,Rock,Classic Rock,"Paint It, Black","I see a red door and I want it painted black No colours anymore, I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goesI see a line of cars and they're all painted black With flowers and my love, both never to come back I see people turn their heads and quickly look away Like a newborn baby, it just happens every dayI look inside myself and see my heart is black I see my red door, I must have it painted black Maybe then I'll fade away and not have to face the facts It's not easy facing up when your whole world is blackNo more will my green sea go turn a deeper blue I could not foresee this thing happening to you If I look hard enough into the setting sun My love will laugh with me before the morning comesI see a red door and I want it painted black No colours anymore, I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goesI wanna see it painted, painted black Black as night, black as coal I wanna see the sun blotted out from the sky I wanna see it painted, painted, painted Painted black, yeah",0.053,0.852,0.095,0.8656
The Rolling Stones,Rock,Classic Rock,Brown Sugar,"Gold coast slave ship bound for cotton fields Sold in the market down in New Orleans Scarred old slaver knows he's doing alright Hear him whip the women just around midnightBrown sugar, how come you taste so good? Uh huh Brown sugar, just like a young girl should, uh huh, oh (Woo)Drums beating, cold English blood runs hot Lady of the house wonderin' when it's gonna stop House boy knows that he's doing alright You shoulda heard 'em just around midnightBrown sugar, how come you taste so good now?Brown sugar, just like a young girl should now (Yeah)Ah, get on, brown sugar, how come you taste so good?Ah, got me craving the, the brown sugar Just like a black girl should, yeahAh, and I bet your mama was a tent show queen And all her boyfriends were sweet sixteen I'm no schoolboy, but I know what I like You shoulda heard me just around midnightBrown sugar, how come you taste so good, baby?Ah, come down, brown sugar Just like a young girl should, yeahI said, yeah, yeah, yeah, woo How come you, how come you taste so good?Yeah, yeah, yeah, woo Just like a, just like a black girl should Yeah, yeah, yeah, woo",0.021,0.694,0.285,0.9959
The Rolling Stones,Rock,Classic Rock,Gimme Shelter,"Ooh-ooh-ooh Ooh-ooh-ooh Ooh-ooh-ooh Ooh-ooh-oohOoh, a storm is threatening My very life today If I don't get some shelter Ooh yeah, I'm gonna fade awayWar, children It's just a shot away It's just a shot away War, children It's just a shot away It's just a shot away, yeahOoh, see the fire is sweepin'Our very streets today Burns like a red-coal carpet Mad bull lost your wayWar, children, yeah It's just a shot away It's just a shot away War, children, yeah It's just a shot away It's just a shot awayRape, murder, it's just a shot away It's just a shot away Rape, murder, yeah, it's just a shot away It's just a shot away Rape, murder it's just a shot away It's just a shot away YeahMmm, a flood is threatening My very life today Gimme, gimme shelter Or I'm going to fade awayWar, children It's just a shot away It's just a shot away It's just a shot away It's just a shot away It's just a shot awayI tell you love, sister It's just a kiss away It's just a kiss away It's just a kiss away It's just a kiss away It's just a kiss away Kiss away, kiss away",0.198,0.651,0.151,-0.9509
The Rolling Stones,Rock,Classic Rock,You Can’t Always Get What You Want,"I saw her today at the reception A glass of wine in her hand I knew she would meet her connection At her feet was a foot-loose man No, you can't always get what you want You can't always get what you want You can't always get what you want But if you try sometime You'll find You get what you needI saw her today at the reception A glass of wine in her hand I knew she was gonna meet her connection At her feet was a footloose manYou can't always get what you want You can't always get what you want You can't always get what you want But if you try sometimes Well, you might find You get what you need Ahh, yeah-h-h OhAnd I went down to the demonstration To get my fair share of abuse Singing, ""We're gonna vent our frustration If we don't, we're going to blow a 50-amp fuse""Sing it to me, honeyYou can't always get what you want You can't always get what you want You can't always get what you want But if you try sometimes Well, you just might find You get what you need Ah baby, yeah AhhI went down to the Chelsea drugstore To get your prescription filled I was standing in line with Mr. Jimmy And, man, did he look pretty ill We decided that we would have a soda My favorite flavor, cherry red I sung my song to Mr. Jimmy Yeah, and he said one word to me, and that was ""dead""I said to him:You can't always get what you want, well no You can't always get what you want, I tell you, baby You can't always get what you want, no But if you try sometime You just might find, uh, mm You get what you need, oh yeah, woo!Woo!You get what you need, yeah, ow baby Ah yeahI saw her today at the reception In her glass was a bleeding man She was practiced at the art of deception Well, I could tell by her blood-stained hands Sing itYou can't always get what you want, yeah You can't always get what you want, ooh yeah, child You can't always get what you want But if you try sometime, you just might find You just might find, you get what you need, ah yeah Ah yeah, wooh!Ah, you can't always get what you want (No no, baby)You can't always get what you want (You can't now now)You can't always get what you want...mmm but if you try sometime, you just might find You just might find that you get what you need Ah yeah!Ah yeah! Do that",0.056,0.776,0.168,0.9893
The Rolling Stones,Rock,Classic Rock,Wild Horses,"Childhood living is easy to do The things you wanted, I bought them for you Graceless lady, you know who I am You know I can't let you slide through my handsWild horses couldn't drag me away Wild, wild horses couldn't drag me awayI watched you suffer a dull, aching pain Now you decided to show me the same No sweeping exits or offstage lines Could make me feel bitter or treat you unkindWild horses couldn't drag me away Wild, wild horses couldn't drag me awayI know I dreamed you a sin and a lie I have my freedom, but I don't have much time Faith has been broken, tears must be cried Let's do some living after we dieWild horses couldn't drag me away Wild, wild horses, we'll ride them some dayWild horses couldn't drag me away Wild, wild horses, we'll ride them some day",0.15,0.729,0.121,-0.7663
The Rolling Stones,Rock,Classic Rock,Beast of Burden,"I'll never be your beast of burden My back is broad, but it's a-hurting All I want, for you to make love to me I'll never be your beast of burden I've walked for miles, my feet are hurting All I want is for you to make love to meAm I hard enough?Am I rough enough?Am I rich enough?I'm not too blind to seeI'll never be your beast of burden So let's go home and draw the curtains Music on the radio Come on, baby, make sweet love to meAm I hard enough?Am I rough enough?Am I rich enough?I'm not too blind to seeOh, little sister Pretty, pretty, pretty, pretty girls You're a pretty, pretty, pretty, pretty, pretty, pretty girl Pretty, pretty, such a pretty, pretty, pretty girl Come on, baby, please, please, pleaseI'll tell you, you can put me out on the street Put me out with no shoes on my feet But put me out, put me out Put me out of misery, yeah All your sickness, I can suck it up Throw it all at me, I can shrug it off There's one thing, baby, I don't understand You keep on telling me I ain't your kind of manAin't I rough enough? Ooh, honey Ain't I tough enough?Ain't I rich enough? In love enough?Ooh, pleaseI'll never be your beast of burden I'll never be your beast of burden Never, never, never, never, never, never, never be I'll never be your beast of burden I've walked for miles, my feet are hurting All I want is you to make love to me, yeah I don't need no beast of burden I need no fussing, I need no nursing Never, never, never, never, never, never, never be",0.138,0.538,0.324,0.9978
The Rolling Stones,Rock,Classic Rock,(I Can’t Get No) Satisfaction,"I can't get no satisfaction I can't get no satisfaction'Cause I try and I try and I try and I try I can't get no, I can't get noWhen I'm driving in my car And that man comes on the radio And he's telling me more and more About some useless information Supposed to fire my imagination I can't get no, oh no, no, no!Hey, hey, hey! That's what I'll say!I can't get no satisfaction I can't get no satisfaction'Cause I try, and I try, and I try, and I try I can't get no, I can't get noWhen I'm watching my TVAnd a man comes on and tells me How white my shirts can be Well he can't be a man 'cause he doesn't smoke The same cigarettes as me I can't get no, oh no, no, no Hey, hey, hey, that's what I sayI can't get no satisfaction I can't get no girl reaction'Cause I try, and I try, and I try, and I try I can't get no, I can't get noWhen I'm riding 'round the world And I'm doing this and I'm signing that And I'm trying to make some girl Who tells me baby, better come back, maybe next week'Cause you see, I'm on a losing streak I can't get no, oh no, no, no Hey, hey, hey! That's what I'll say!I can't get no, I can't get no, I can't get no I can't get no satisfaction No satisfaction, no satisfaction, no satisfaction I can't get no",0.103,0.681,0.216,0.9519
The Rolling Stones,Rock,Classic Rock,She’s a Rainbow,"She comes in colours everywhere She combs her hair She's like a rainbow Coming colours in the air Oh, everywhere She comes in coloursShe comes in colours everywhere She combs her hair She's like a rainbow Coming colours in the air Oh, everywhere She comes in coloursHave you seen her dressed in blue?See the sky in front of you And her face is like a sail Speck of white, so fair and pale Have you seen a lady fairer?She comes in colours everywhere She combs her hair She's like a rainbow Coming colours in the air Oh, everywhere She comes in coloursHave you seen her all in gold?Like a queen in days of old She shoots colours all around Like a sunset going down Have you seen a lady fairer?She comes in colours everywhere She combs her hair She's like a rainbow Coming colours in the air Oh, everywhere She comes in coloursShe's like a rainbow Coming colours in the air Oh, everywhere She comes in colours",0.0,0.874,0.126,0.961
The Rolling Stones,Rock,Classic Rock,Miss You,"I've been holding out so long I've been sleeping all alone Lord, I miss you I've been hanging on the phone I've been sleeping all alone I want to kiss you sometimeOoh, ooh, ooh-ooh-ooh Ooh, ooh, ooh-ooh-oohWell, I've been haunted in my sleep You've been starring in my dreams Lord, I miss you, child I've been waiting in the hall Been waiting on your call When the phone rings It's just some friends of mine that say""Hey, what's the matter, man?We're goingna come around at twelve With some Puerto Rican girls thats just dying to meet you We're goinna bring a case of wine Hey, let's go mess and fool around You know, like we used to""Ah, ah, ah-ah-ah Ah, ah, ah-ah-ahOh, everybody waits so long Oh, baby, why you waitin' so long?Won't you come on, come on?I've been walkin' Central Park, singing after dark People think I'm crazy Stumbling on my feet, shuffling through the street Asking people, ""What's the matter with you, boy?""Sometimes, I want to say to, to myself Sometimes I sayOoh, ooh, ooh-ooh-ooh Ooh, ooh, I won't miss you childI guess I'm lying to myself It's just you and no one else Lord, I won't miss you, child You've just been blotting out my mind Fooling on my time No, I won't miss you, baby, yeahAh, ah, ah-ah-ah Lord, I miss you child Ah, ah, ah-ah-ah Lord, I miss you child Ah, ah, ah-ah-ah Why, why, why, why",0.145,0.794,0.061,-0.9563
The Who,Rock,Classic Rock,Bigger Than The Whole Sky,"No words appear before me in the aftermath Salt streams out my eyes and into my ears Every single thing I touch becomes sick with sadness'Cause it's all over now, all out to seaGoodbye, goodbye, goodbye You were bigger than the whole sky You were more than just a short time And I've got a lot to pine about I've got a lot to live without I'm never gonna meet What could've been, would've been What should've been you What could've been, would've been youDid some bird flap its wings ovеr in Asia?Did some force take you bеcause I didn't pray?Every single thing to come has turned into ashes'Cause it's all over, it's not meant to be So I'll say words I don't believeGoodbye, goodbye, goodbye You were bigger than the whole sky You were more than just a short time And I've got a lot to pine about I've got a lot to live without I'm never gonna meet What could've been, would've been What should've been youWhat could've been, would've been you What could've been, would've been What should've been you What could've been, would've been you(What could've been, would've been you)Goodbye, goodbye, goodbye You were bigger than the whole sky You were more than just a short time And I've got a lot to pine about I've got a lot to live without I'm never gonna meet What could've been, would've been What should've been you",0.025,0.975,0.0,-0.7059
The Who,Rock,Classic Rock,Baba O’Riley,"Out here in the fields, I fight for my meals I get my back into my living I don't need to fight to prove I'm right I don't need to be forgiven, yeah, yeah, yeah, yeah, yeahDon't cry, don't raise your eye It's only teenage wastelandSally, take my hand, we'll travel south 'cross land Put out the fire and don't look past my shoulder The exodus is here, the happy ones are near Let's get together before we get much olderTeenage wasteland, it's only teenage wasteland Teenage wasteland, oh, yeah Teenage wasteland They're all wasted",0.097,0.697,0.206,0.8821
The Who,Rock,Classic Rock,Who Are You,"Who are you?Who, who, who, who?Who are you?Who, who, who, who?Who are you?Who, who, who, who?Who are you?Who, who, who, who?I woke up in a Soho doorway A policeman knew my name He said, “You can go sleep at home tonight If you can get up and walk away”I staggered back to the underground And the breeze blew back my hair I remember throwing punches around And preaching from my chairWell, who are you? (Who are you? Who, who, who, who?)I really want to know (Who are you? Who, who, who, who?)Tell me who are you? (Who are you? Who, who, who, who?)Because I really want to know (Who are you? Who, who, who, who?)I took the tube back out of town Back to the Rolling Pin I felt a little like a dying clown With a streak of Rin Tin Tin I stretched back, and I hiccuped and looked back on my busy day Eleven hours in the Tin Pan God, there's got to be another wayWell, who are you? (Who are you? Who, who, who, who?)Oh, who are you? (Who are you? Who, who, who, who?)Come on, tell me who are you? (Who are you? Who, who, who, who?)Oh, who the fuck are you? (Who are you? Who, who, who, who?)Who are you?Ooh wa, ooh wa, ooh wa, ooh wa ooh Ooh wa, ooh wa, ooh wa, ooh wa ooh Ooh wa, ooh wa, ooh wa, ooh wa ooh Ooh wa, ooh wa, ooh wa, ooh wa ooh Ooh wa, ooh wa, ooh wa, ooh wa ooh Ooh wa, ooh wa, ooh wa, ooh wa oohWho are you?Who, who, who, who?Who are you?Who, who, who, who?Who are you?Who, who, who, who?Who  are you?Who, who, who, who?I really want to know (Who are you? Who, who, who, who?)I really want to know (Who are you? Who, who, who, who?)Come on, tell me who are you? (Who are you? Who, who, who, who?)Because I really want to know (Who are you? Who, who, who, who?)I know there's a place you walked Where love falls from the trees My heart is like a broken cup I only feel right on my knees I spit out like a sewer hole Yet still receive your kiss How can I measure up to anyone now After such a love as this?Well, who are you? (Who are you? Who, who, who, who?)Tell me who are you (Who are you? Who, who, who, who?)Oh, I really want to know (Who are you? Who, who, who, who?)Tell me, tell me, who are you? (Who are you? Who, who, who, who?)Come on, come on, who? (Who are you? Who, who, who, who?)Oh, who the fuck are you? (Who are you? Who, who, who, who?)Who are you? (Who are you? Who, who, who, who?)Oh, tell me who are you (Who are you? Who, who, who, who?)I really wanna know Oh, I really wanna know Come on, tell me, who are you, you, you, you?Who are you?",0.02,0.919,0.061,0.9365
The Who,Rock,Classic Rock,Behind Blue Eyes,"No one knows what it's like To be the bad man, to be the sad man Behind blue eyes No one knows what it's like To be hated, to be fated To telling only liesBut my dreams, they aren't as empty As my conscience seems to be I have hours, only lonely My love is vengeance that's never freeNo one knows what it's like To feel these feelings like I do And I blame you No one bites back as hard On their anger, none of my pain and woe Can show throughBut my dreams, they aren't as empty As my conscience seems to be I have hours, only lonely My love is vengeance that's never freeWhen my fist clenches, crack it open Before I use it and lose my cool When I smile, tell me some bad news Before I laugh and act like a fool And if I swallow anything evil Put your finger down my throat And if I shiver, please give me a blanket Keep me warm, let me wear your coatNo one knows what it's like To be the bad man, to be the sad man Behind blue eyes",0.214,0.595,0.191,-0.8183
The Who,Rock,Classic Rock,The Whole of the Moon,"I pictured a rainbow You held it in your hands I had flashes But you saw the plan I wandered out in the world for years While you just stayed in your room I saw the crescent You saw the whole of the moon The whole of the moonYou were there in the turnstiles With the wind at your heels You stretched for the stars And you know how it feels To reach too high Too far too soon You saw the whole of the moonI was grounded While you filled the skies I was dumbfounded by truth You cut through lies I saw the rain dirty valley You saw Brigadoon I saw the crescent You saw the whole of the moonI spoke about wings You just flew I wondered, I guessed, and I tried You just knew, I sighed But you swooned I saw the crescent You saw the whole of the moon The whole of the moon(The whole of the moon)With a torch in your pocket And the wind at your heels You climbed on the ladder And you know how it feels To get too high Too far too soon You saw the whole of the moon The whole of the moon Hey, yeahUnicorns and cannonballs (You were there in the turnstiles)Palaces and piers (With the wind at your heels)Trumpets towers and tenements (You stretched for the stars)Wide oceans full of tears (And you know how it feels)Flags, rags, ferryboats (To get too high)Scimitars and scarves (To far)Every precious dream and vision (Too soon)Underneath the starsYou climbed on the ladder With the wind in your sails You came like a comet Blazing your trail Too high too far too soon You saw the whole of the moon",0.054,0.888,0.059,0.1154
The Who,Rock,Classic Rock,The Whole “Being Dead” Thing,"Hey, folks! Begging your pardon!'Scuse me! Sorry to barge in!Now let's skip the tears and start on the whole Y'know, ""being dead"" thing You're doomed! Enjoy the singing The sword of Damocles is swinging And if I hear your cell phone ringing I'll kill you myself The whole ""being dead"" thing!Death can get a person stressed""We should have carpe'd way more diems Now we're never gonna see ‘em!""I can show you what comes next So don't be freaked Stay in your seats I do this bullshit, like, eight times a week So just relax, you'll be fine Drink your fifty-dollar wine And take a breath!Welcome to a show about death!You're You're gonna be fine On the other side DIE! YOU'RE ALL GONNA DIE!YOU'RE ALL GONNA DIE!I'll I'll be your guide To the other sideWell in full disclosure: it's a show about death!Everybody gets on fine here Like Rodgers, Hart, and Hammerstein here The women's bathroom has no line here Just pee where you want The whole ""being dead"" thing!You're just gonna love the folks here Yeah, I know you're woke, but you can take a joke here And every show I do, like, a TON of coke here The whole—PAH-HAH! The whole ""being dead"" thing!Nobody is bullet-proof""I work out, I eat clean!""Jesus, pass the Dramamine Time to face the brutal truth: (Dies Illa)‘Cause we're all on a hit list Might not live ‘till Christmas Choke to death on Triscuits Hey, that's just statistics So take a little break here Kinda like a wake here The scenery is fake here But there's a giant snake here!Ha ha haWelcome to a show about death!You're You're gonna be fine—thank you!On the other side—how you doin'?Oh, not good!Ba-be-ba-ba-be-bo-boo-bap-boop!I'll—hey!I'll be your guide To the other side Seriously, though, this is a show about—Death is taboo, but it's hardly something new There's nothing medical professionals could do‘cept maybe just bill youIf you die while listening to this album, it's still gonna keep playing. There's no destiny or fate Just a terrifying wait Filled with people that you hate And on a certain date, the Universe kills you!That's the thing with life:No one makes it out alive Toss that body in the pit""Gosh, it's awful, ain't it tragic?""""Blah-blah, Bible, Jesus magic""When you're dead, who gives a shit?""No pilates, no more yoga!""""Namaste"", you freakin' posers From the cradle to cremation (Dies Irae)Death just needs a little conversation!I have mastered the art (Dies Irae)Of tearing convention apart (Dies Irae)So, how about we all make a start (Dies Irae)On the whole ""being dead"" thing!God, I hope you're ready for a show about death!",0.196,0.707,0.097,-0.9964
