Band,Genre,Subgenre,Song Title,Lyrics
The Rolling Stones,Rock,Classic Rock,Sympathy for the Devil,"[Intro]YeowYeowYeow[Verse 1]Please allow me to introduce myselfI'm a man of wealth and tasteI've been around for a long, long yearStole many a man's soul and faithAnd I was 'round when Jesus ChristHad his moment of doubt and painMade damn sure that PilateWashed his hands and sealed his fate[Chorus]Pleased to meet you, hope you guess my nameBut what's puzzlin' you is the nature of my game[Verse 2]Stuck around St. PetersburgWhen I saw it was a time for a changeKilled the Tsar and his ministersAnastasia screamed in vainI rode a tank, held a general's rankWhen the Blitzkrieg raged and the bodies stank[Chorus]Pleased to meet you, hope you guess my nameOh yeahAh, what's puzzlin' you is the nature of my gameAww yeah[Verse 3]I watched with glee while your kings and queensFought for ten decades for the gods they madeI shouted out, ""Who killed the Kennedys?""When after all, it was you and meLet me please introduce myselfI'm a man of wealth and tasteAnd I laid traps for troubadoursWho get killed before they reach Bombay[Chorus]Pleased to meet you, hope you guess my nameOh yeahBut what's puzzlin' you is the nature of my gameAww yeah(Uh, get down heavy!)[Guitar Solo][Chorus]Pleased to meet you, hope you'll guess my nameAww yeahBut what's confusin' you is just the nature of my gameMmm yeah[Verse 4]Just as every cop is a criminalAnd all the sinners saintsAs heads is tails, just call me Lucifer'Cause I'm in need of some restraintSo if you meet me, have some courtesyHave some sympathy and some tasteUse all your well-learned politesseOr I'll lay your soul to wasteMmm, yeah[Chorus]Pleased to meet you, hope you guessed my nameMmm, yeahBut what's puzzlin' you is the nature of my gameMmm, mean it, get down[Outro w/Guitar Solo]Get downWoo hoo!Aww yeahGet on downOh yeahBa bum bum, ba ba bumAh yeahTell me baby, what's my name?Tell me honey, can you guess my name?Tell me baby, what's my name?I'll tell you one time, you're to blameOoo hoo, ooo hoo, oooo hooAll rightOoo hoo hoo, ooo hoo hoo, ooo hoo hooAh yeahOoo hoo hoo, ooo hoo hooAh yes, what's my name?Tell me, baby, ah what's my name?Tell me, sweetie, what's my name?Ooo hoo hoo, ooo hoo hoo, ooo hoo hoo, ooo hoo hooOoo hoo hoo, ooo hoo hoo, ooo hoo hooAh yeahWhat's my name..."
The Rolling Stones,Rock,Classic Rock,"Paint It, Black","[Instrumental Intro][Verse 1]I see a red door and I want it painted blackNo colours anymore, I want them to turn blackI see the girls walk by dressed in their summer clothesI have to turn my head until my darkness goes[Verse 2]I see a line of cars and they're all painted blackWith flowers and my love, both never to come backI see people turn their heads and quickly look awayLike a newborn baby, it just happens every day[Verse 3]I look inside myself and see my heart is blackI see my red door, I must have it painted blackMaybe then I'll fade away and not have to face the factsIt's not easy facing up when your whole world is black[Verse 4]No more will my green sea go turn a deeper blueI could not foresee this thing happening to youIf I look hard enough into the setting sunMy love will laugh with me before the morning comes[Verse 1]I see a red door and I want it painted blackNo colours anymore, I want them to turn blackI see the girls walk by dressed in their summer clothesI have to turn my head until my darkness goes[Outro]I wanna see it painted, painted blackBlack as night, black as coalI wanna see the sun blotted out from the skyI wanna see it painted, painted, paintedPainted black, yeah"
The Rolling Stones,Rock,Classic Rock,Brown Sugar,"[Verse 1]Gold coast slave ship bound for cotton fieldsSold in the market down in New OrleansScarred old slaver knows he's doing alrightHear him whip the women just around midnight[Chorus]Brown sugar, how come you taste so good? Uh huhBrown sugar, just like a young girl should, uh huh, oh (Woo)[Verse 2]Drums beating, cold English blood runs hotLady of the house wonderin' when it's gonna stopHouse boy knows that he's doing alrightYou shoulda heard 'em just around midnight[Chorus]Brown sugar, how come you taste so good now?Brown sugar, just like a young girl should now (Yeah)[Chorus]Ah, get on, brown sugar, how come you taste so good?Ah, got me craving the, the brown sugarJust like a black girl should, yeah[Verse 3]Ah, and I bet your mama was a tent show queenAnd all her boyfriends were sweet sixteenI'm no schoolboy, but I know what I likeYou shoulda heard me just around midnight[Chorus]Brown sugar, how come you taste so good, baby?Ah, come down, brown sugarJust like a young girl should, yeah[Outro]I said, yeah, yeah, yeah, wooHow come you, how come you taste so good?Yeah, yeah, yeah, wooJust like a, just like a black girl shouldYeah, yeah, yeah, woo"
The Rolling Stones,Rock,Classic Rock,Gimme Shelter,"[Intro: Merry Clayton]Ooh-ooh-oohOoh-ooh-oohOoh-ooh-oohOoh-ooh-ooh[Verse 1: Mick Jagger]Ooh, a storm is threateningMy very life todayIf I don't get some shelterOoh yeah, I'm gonna fade away[Chorus: Mick Jagger & Merry Clayton]War, childrenIt's just a shot awayIt's just a shot awayWar, childrenIt's just a shot awayIt's just a shot away, yeah[Verse 2: Mick Jagger & Merry Clayton]Ooh, see the fire is sweepin'Our very streets todayBurns like a red-coal carpetMad bull lost your way[Chorus: Mick Jagger & Merry Clayton]War, children, yeahIt's just a shot awayIt's just a shot awayWar, children, yeahIt's just a shot awayIt's just a shot away[Guitar Solo][Bridge: Merry Clayton]Rape, murder, it's just a shot awayIt's just a shot awayRape, murder, yeah, it's just a shot awayIt's just a shot awayRape, murder it's just a shot awayIt's just a shot awayYeah[Verse 3: Mick Jagger & Merry Clayton]Mmm, a flood is threateningMy very life todayGimme, gimme shelterOr I'm going to fade away[Chorus: Mick Jagger & Merry Clayton]War, childrenIt's just a shot awayIt's just a shot awayIt's just a shot awayIt's just a shot awayIt's just a shot away[Outro: Mick Jagger & Merry Clayton]I tell you love, sisterIt's just a kiss awayIt's just a kiss awayIt's just a kiss awayIt's just a kiss awayIt's just a kiss awayKiss away, kiss away[Instrumental Outro][Harmonica Solo]"
The Rolling Stones,Rock,Classic Rock,You Can’t Always Get What You Want,"[Intro: London Bach Choir]I saw her today at the receptionA glass of wine in her handI knew she would meet her connectionAt her feet was a foot-loose manNo, you can't always get what you wantYou can't always get what you wantYou can't always get what you wantBut if you try sometimeYou'll findYou get what you need[Verse 1]I saw her today at the receptionA glass of wine in her handI knew she was gonna meet her connectionAt her feet was a footloose man[Chorus]You can't always get what you wantYou can't always get what you wantYou can't always get what you wantBut if you try sometimesWell, you might findYou get what you needAhh, yeah-h-hOh[Verse 2]And I went down to the demonstrationTo get my fair share of abuseSinging, ""We're gonna vent our frustrationIf we don't, we're going to blow a 50-amp fuse""Sing it to me, honey[Chorus]You can't always get what you wantYou can't always get what you wantYou can't always get what you wantBut if you try sometimesWell, you just might findYou get what you needAh baby, yeahAhh[Verse 3]I went down to the Chelsea drugstoreTo get your prescription filledI was standing in line with Mr. JimmyAnd, man, did he look pretty illWe decided that we would have a sodaMy favorite flavor, cherry redI sung my song to Mr. JimmyYeah, and he said one word to me, and that was ""dead""I said to him:[Chorus]You can't always get what you want, well noYou can't always get what you want, I tell you, babyYou can't always get what you want, noBut if you try sometimeYou just might find, uh, mmYou get what you need, oh yeah, woo!Woo!You get what you need, yeah, ow babyAh yeah[Verse 4]I saw her today at the receptionIn her glass was a bleeding manShe was practiced at the art of deceptionWell, I could tell by her blood-stained handsSing it[Outro]You can't always get what you want, yeahYou can't always get what you want, ooh yeah, childYou can't always get what you wantBut if you try sometime, you just might findYou just might find, you get what you need, ah yeahAh yeah, wooh!Ah, you can't always get what you want (No no, baby)You can't always get what you want (You can't now now)You can't always get what you want...mmm but if you try sometime, you just might findYou just might find that you get what you needAh yeah!Ah yeah! Do that"
The Rolling Stones,Rock,Classic Rock,Wild Horses,"[Verse 1]Childhood living is easy to doThe things you wanted, I bought them for youGraceless lady, you know who I amYou know I can't let you slide through my hands[Chorus]Wild horses couldn't drag me awayWild, wild horses couldn't drag me away[Verse 2]I watched you suffer a dull, aching painNow you decided to show me the sameNo sweeping exits or offstage linesCould make me feel bitter or treat you unkind[Chorus]Wild horses couldn't drag me awayWild, wild horses couldn't drag me away[Verse 3]I know I dreamed you a sin and a lieI have my freedom, but I don't have much timeFaith has been broken, tears must be criedLet's do some living after we die[Chorus]Wild horses couldn't drag me awayWild, wild horses, we'll ride them some day[Chorus]Wild horses couldn't drag me awayWild, wild horses, we'll ride them some day"
The Rolling Stones,Rock,Classic Rock,Beast of Burden,"[Intro][Verse 1]I'll never be your beast of burdenMy back is broad, but it's a-hurtingAll I want, for you to make love to meI'll never be your beast of burdenI've walked for miles, my feet are hurtingAll I want is for you to make love to me[Chorus]Am I hard enough?Am I rough enough?Am I rich enough?I'm not too blind to see[Verse 2]I'll never be your beast of burdenSo let's go home and draw the curtainsMusic on the radioCome on, baby, make sweet love to me[Chorus]Am I hard enough?Am I rough enough?Am I rich enough?I'm not too blind to see[Bridge]Oh, little sisterPretty, pretty, pretty, pretty girlsYou're a pretty, pretty, pretty, pretty, pretty, pretty girlPretty, pretty, such a pretty, pretty, pretty girlCome on, baby, please, please, please[Verse 3]I'll tell you, you can put me out on the streetPut me out with no shoes on my feetBut put me out, put me outPut me out of misery, yeahAll your sickness, I can suck it upThrow it all at me, I can shrug it offThere's one thing, baby, I don't understandYou keep on telling me I ain't your kind of man[Chorus]Ain't I rough enough? Ooh, honeyAin't I tough enough?Ain't I rich enough? In love enough?Ooh, please[Outro]I'll never be your beast of burdenI'll never be your beast of burdenNever, never, never, never, never, never, never beI'll never be your beast of burdenI've walked for miles, my feet are hurtingAll I want is you to make love to me, yeahI don't need no beast of burdenI need no fussing, I need no nursingNever, never, never, never, never, never, never be"
The Rolling Stones,Rock,Classic Rock,(I Can’t Get No) Satisfaction,"[Instrumental Intro][Chorus]I can't get no satisfactionI can't get no satisfaction'Cause I try and I try and I try and I tryI can't get no, I can't get no[Verse 1]When I'm driving in my carAnd that man comes on the radioAnd he's telling me more and moreAbout some useless informationSupposed to fire my imaginationI can't get no, oh no, no, no!Hey, hey, hey! That's what I'll say![Chorus]I can't get no satisfactionI can't get no satisfaction'Cause I try, and I try, and I try, and I tryI can't get no, I can't get no[Verse 2]When I'm watching my TVAnd a man comes on and tells meHow white my shirts can beWell he can't be a man 'cause he doesn't smokeThe same cigarettes as meI can't get no, oh no, no, noHey, hey, hey, that's what I say[Chorus]I can't get no satisfactionI can't get no girl reaction'Cause I try, and I try, and I try, and I tryI can't get no, I can't get no[Verse 3]When I'm riding 'round the worldAnd I'm doing this and I'm signing thatAnd I'm trying to make some girlWho tells me baby, better come back, maybe next week'Cause you see, I'm on a losing streakI can't get no, oh no, no, noHey, hey, hey! That's what I'll say![Outro]I can't get no, I can't get no, I can't get noI can't get no satisfactionNo satisfaction, no satisfaction, no satisfactionI can't get no"
The Rolling Stones,Rock,Classic Rock,She’s a Rainbow,"[Instrumental Intro][Chorus]She comes in colours everywhereShe combs her hairShe's like a rainbowComing colours in the airOh, everywhereShe comes in colours[Instrumental Break][Chorus]She comes in colours everywhereShe combs her hairShe's like a rainbowComing colours in the airOh, everywhereShe comes in colours[Instrumental Break][Verse 1]Have you seen her dressed in blue?See the sky in front of youAnd her face is like a sailSpeck of white, so fair and paleHave you seen a lady fairer?[Chorus]She comes in colours everywhereShe combs her hairShe's like a rainbowComing colours in the airOh, everywhereShe comes in colours[Verse 2]Have you seen her all in gold?Like a queen in days of oldShe shoots colours all aroundLike a sunset going downHave you seen a lady fairer?[Chorus]She comes in colours everywhereShe combs her hairShe's like a rainbowComing colours in the airOh, everywhereShe comes in colours[Instrumental Break][Outro]She's like a rainbowComing colours in the airOh, everywhereShe comes in colours"
The Rolling Stones,Rock,Classic Rock,Miss You,"[Produced by The Glimmer Twins][Verse 1]I've been holding out so longI've been sleeping all aloneLord, I miss youI've been hanging on the phoneI've been sleeping all aloneI want to kiss you sometime[Chorus]Ooh, ooh, ooh-ooh-oohOoh, ooh, ooh-ooh-ooh[Verse 2]Well, I've been haunted in my sleepYou've been starring in my dreamsLord, I miss you, childI've been waiting in the hallBeen waiting on your callWhen the phone ringsIt's just some friends of mine that say""Hey, what's the matter, man?We're goingna come around at twelveWith some Puerto Rican girls thats just dying to meet youWe're goinna bring a case of wineHey, let's go mess and fool aroundYou know, like we used to""[Chorus]Ah, ah, ah-ah-ahAh, ah, ah-ah-ah[Verse 3]Oh, everybody waits so longOh, baby, why you waitin' so long?Won't you come on, come on?I've been walkin' Central Park, singing after darkPeople think I'm crazyStumbling on my feet, shuffling through the streetAsking people, ""What's the matter with you, boy?""Sometimes, I want to say to, to myselfSometimes I say[Chorus]Ooh, ooh, ooh-ooh-oohOoh, ooh, I won't miss you child[Verse 4]I guess I'm lying to myselfIt's just you and no one elseLord, I won't miss you, childYou've just been blotting out my mindFooling on my timeNo, I won't miss you, baby, yeah[Chorus]Ah, ah, ah-ah-ahLord, I miss you childAh, ah, ah-ah-ahLord, I miss you childAh, ah, ah-ah-ahWhy, why, why, why"
The Who,Rock,Classic Rock,Bigger Than The Whole Sky,"[Verse 1]No words appear before me in the aftermathSalt streams out my eyes and into my earsEvery single thing I touch becomes sick with sadness'Cause it's all over now, all out to sea[Chorus]Goodbye, goodbye, goodbyeYou were bigger than the whole skyYou were more than just a short timeAnd I've got a lot to pine aboutI've got a lot to live withoutI'm never gonna meetWhat could've been, would've beenWhat should've been youWhat could've been, would've been you[Verse 2]Did some bird flap its wings ovеr in Asia?Did some force take you bеcause I didn't pray?Every single thing to come has turned into ashes'Cause it's all over, it's not meant to beSo I'll say words I don't believe[Chorus]Goodbye, goodbye, goodbyeYou were bigger than the whole skyYou were more than just a short timeAnd I've got a lot to pine aboutI've got a lot to live withoutI'm never gonna meetWhat could've been, would've beenWhat should've been you[Bridge]What could've been, would've been youWhat could've been, would've beenWhat should've been youWhat could've been, would've been you(What could've been, would've been you)[Chorus]Goodbye, goodbye, goodbyeYou were bigger than the whole skyYou were more than just a short timeAnd I've got a lot to pine aboutI've got a lot to live withoutI'm never gonna meetWhat could've been, would've beenWhat should've been you"
The Who,Rock,Classic Rock,Baba O’Riley,"[Intro][Verse 1: Roger Daltrey]Out here in the fields, I fight for my mealsI get my back into my livingI don't need to fight to prove I'm rightI don't need to be forgiven, yeah, yeah, yeah, yeah, yeah[Interlude][Bridge: Pete Townshend]Don't cry, don't raise your eyeIt's only teenage wasteland[Verse 2: Roger Daltrey]Sally, take my hand, we'll travel south 'cross landPut out the fire and don't look past my shoulderThe exodus is here, the happy ones are nearLet's get together before we get much older[Chorus: Roger Daltrey]Teenage wasteland, it's only teenage wastelandTeenage wasteland, oh, yeahTeenage wastelandThey're all wasted[Instrumental Outro]"
The Who,Rock,Classic Rock,Who Are You,"[Chorus: Pete Townshend & John Entwistle]Who are you?Who, who, who, who?Who are you?Who, who, who, who?Who are you?Who, who, who, who?Who are you?Who, who, who, who?[Verse 1: Roger Daltrey]I woke up in a Soho doorwayA policeman knew my nameHe said, “You can go sleep at home tonightIf you can get up and walk away”I staggered back to the undergroundAnd the breeze blew back my hairI remember throwing punches aroundAnd preaching from my chair[Chorus: The Who]Well, who are you? (Who are you? Who, who, who, who?)I really want to know (Who are you? Who, who, who, who?)Tell me who are you? (Who are you? Who, who, who, who?)Because I really want to know (Who are you? Who, who, who, who?)[Verse 2: Roger Daltrey]I took the tube back out of townBack to the Rolling PinI felt a little like a dying clownWith a streak of Rin Tin TinI stretched back, and I hiccuped and looked back on my busy dayEleven hours in the Tin PanGod, there's got to be another way[Chorus: The Who]Well, who are you? (Who are you? Who, who, who, who?)Oh, who are you? (Who are you? Who, who, who, who?)Come on, tell me who are you? (Who are you? Who, who, who, who?)Oh, who the fuck are you? (Who are you? Who, who, who, who?)[Bridge: Townshend & Entwistle]Who are you?Ooh wa, ooh wa, ooh wa, ooh wa oohOoh wa, ooh wa, ooh wa, ooh wa oohOoh wa, ooh wa, ooh wa, ooh wa oohOoh wa, ooh wa, ooh wa, ooh wa oohOoh wa, ooh wa, ooh wa, ooh wa oohOoh wa, ooh wa, ooh wa, ooh wa ooh[Chorus: The Who]Who are you?Who, who, who, who?Who are you?Who, who, who, who?Who are you?Who, who, who, who?Who  are you?Who, who, who, who?I really want to know (Who are you? Who, who, who, who?)I really want to know (Who are you? Who, who, who, who?)Come on, tell me who are you? (Who are you? Who, who, who, who?)Because I really want to know (Who are you? Who, who, who, who?)[Verse 3: Roger Daltrey]I know there's a place you walkedWhere love falls from the treesMy heart is like a broken cupI only feel right on my kneesI spit out like a sewer holeYet still receive your kissHow can I measure up to anyone nowAfter such a love as this?[Outro: The Who]Well, who are you? (Who are you? Who, who, who, who?)Tell me who are you (Who are you? Who, who, who, who?)Oh, I really want to know (Who are you? Who, who, who, who?)Tell me, tell me, who are you? (Who are you? Who, who, who, who?)Come on, come on, who? (Who are you? Who, who, who, who?)Oh, who the fuck are you? (Who are you? Who, who, who, who?)Who are you? (Who are you? Who, who, who, who?)Oh, tell me who are you (Who are you? Who, who, who, who?)I really wanna knowOh, I really wanna knowCome on, tell me, who are you, you, you, you?Who are you?"
